Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,male,35.4,0,0,16.02,S
1,1,female,30.6,0,0,53.18,C
0,3,male,27.3,0,0,13.88,S
0,3,male,44.8,0,0,10.37,S
1,2,female,36.2,0,0,33.44,S
0,3,male,23.5,0,0,11.72,S
1,1,female,50.1,0,0,89.95,S
0,3,male,31.8,1,0,17.08,S
0,3,male,20.4,0,0,9.94,S
1,2,female,27,0,0,28.9,C
